epoch,train_reconst_mse,test_reconst_mse
1,14.399202418327333,4.297421529889107
2,11.315677332878114,8.270570397377014
3,13.264932620525363,8.123162761330605
4,12.993849998712541,7.916418045759201
5,12.547560942173003,7.230697765946388
6,9.575158512592315,6.022770196199417
7,6.757244595885277,3.2475821748375893
8,5.853948655724525,3.231661207973957
9,5.326093491911887,3.1813971996307373
10,4.955067193508148,2.925712913274765
11,4.6471282124519355,2.620416685938835
12,4.228132605552673,2.356440231204033
13,3.8245344966650006,2.0575577318668365
14,3.4136052519083027,1.7757029756903648
15,3.024445708096027,1.7687582410871983
16,2.9093157172203066,1.6359778940677643
17,2.7254893571138386,1.448200173676014
18,2.670443905889988,1.6033837236464024
19,2.606723167002201,1.3470341116189957
20,2.4716629832983017,1.3439898416399956
21,2.384281747043133,1.319123663008213
22,2.316667674481869,1.249807845801115
23,2.348911957442761,1.2354368790984154
24,2.307715140283108,1.1888315230607986
25,2.2685407549142838,1.25067825242877
26,2.203125287592411,1.131524071097374
27,2.0816005796194075,1.101887036114931
28,2.13936420828104,1.126277532428503
29,2.167412869632244,1.0941631067544222
30,2.0422946408391,1.056468928232789
31,2.031706729531288,1.0471232868731022
32,2.0760914370417596,1.1147193908691406
33,2.0517658397555354,1.044202994555235
34,2.074665489792824,1.179970372468233
35,2.005402809381485,1.0434530079364777
36,1.9294177427887917,1.0552499741315842
37,1.9209477081894877,1.125315498560667
38,1.9556263446807862,1.0624912772327662
39,2.045986787974835,1.0320521518588066
40,1.9287141129374505,0.9701208788901567
41,1.826513259112835,0.9493258185684681
42,1.9319915026426318,0.9891048595309258
43,1.9057809039950373,1.008025573566556
44,1.8421392254531384,0.9581832829862833
45,1.8249944120645523,0.9468657542020082
46,1.8381984248757364,0.8993365336209536
47,1.7432121805846694,0.8842391334474087
48,1.7217933282256126,0.8625484276562929
49,1.803593495488167,0.9224473536014557
50,1.7435493722558022,0.8499642051756382
51,1.7873485229909423,0.9187016654759645
52,1.7977128461003304,0.916407149285078
53,1.782175336778164,0.8767451010644436
54,1.7113354407250885,0.8348165974020958
55,1.7057652033865454,0.8206421881914139
56,1.8495638385415079,0.9006507489830256
57,1.7167394310235977,0.8181626945734024
58,1.8095652446150778,0.8339852634817362
59,1.682041694223881,0.8215767852962017
60,1.7194284297525881,0.8224539179354906
61,1.7542823106050494,0.842348013073206
62,1.6799950093030929,0.8087447695434093
63,1.6448117107152942,0.8287730850279331
64,1.628905988484621,0.7833977732807398
65,1.5357729531824589,0.7372792530804873
66,1.5296901516616344,0.7407272420823574
67,1.4980289824306967,0.7301323730498552
68,1.5374625064432623,0.7533703669905663
69,1.5666888251900675,0.7120673526078463
70,1.5345398366451266,0.7069400977343321
71,1.5590376421809198,0.7628883421421051
72,1.5656852871179583,0.7420084308832884
73,1.5014615803956985,0.7446392513811588
74,1.5105465419590474,0.7555260993540287
75,1.5709207080304624,0.7590083200484514
76,1.6238061733543874,0.8840859122574329
77,1.5538576781749727,0.7081849165260792
78,1.4307429276406767,0.6673612259328365
79,1.6015545189380649,0.7989422492682934
80,1.7609915286302567,0.9040158130228519
81,1.4639628261327744,0.6847756803035736
82,1.5007770843803883,0.7042096704244614
83,1.4529347509145738,0.6683559454977512
84,1.4664264403283598,0.7312602698802948
85,1.447765652090311,0.6583879608660936
86,1.5135967500507832,0.6572606414556503
87,1.442516537755728,0.6666717901825905
88,1.498215528577566,0.6639379039406776
89,1.4494481891393662,0.6692095249891281
90,1.404329087585211,0.7541899345815182
91,1.4561407595872882,0.6706598810851574
92,1.4532156832516194,0.681677857413888
93,1.6228788599371913,0.6805482730269432
